experiment,model_family,features,validation_split,mean,std,worst_fold,runtime_s,notes
exp4_scan_lambdarank,LightGBM lambdarank (episode queries),keyz,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.491,0.0285,0.4623,870,"METRIC=candidate F1 @1500; oracle-k F1 .5106; uncalibrated scores | folds=[np.float64(0.5361), np.float64(0.4623), np.float64(0.4945), np.float64(0.4713)]"
exp4_scan_xendcg,LightGBM rank_xendcg,keyz,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.1328,0.0104,0.1223,540,"METRIC=candidate F1; scores uncalibrated so k decoding fails (oracle-k F1 .508) | folds=[np.float64(0.1463), np.float64(0.1223), np.float64(0.1394), np.float64(0.1231)]"
exp5_count_models,episode count regressors (Poisson GBM / linear),OOF prob summaries + ctx,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4667,0.0342,0.4272,10,"METRIC=candidate F1; worse than expected-F1 k x1.3 (.4876) -> rejected | folds=[np.float64(0.4945), np.float64(0.4272), np.float64(0.5063), np.float64(0.4388)]"
exp6_nn1,"Set-attention NN from scratch, key embeddings, 25 ep, 1 seed",keyz feats standardized,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4784,0.0427,0.4348,1900,"METRIC=candidate F1; overfits on fold 1/3 after ~5 epochs | folds=[np.float64(0.5433), np.float64(0.4348), np.float64(0.4896), np.float64(0.4458)]"
exp6_blend_gbdt_nn1,0.7 GBDT + 0.3 NN1 logit blend,-,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.5005,0.038,0.4536,5,"METRIC=candidate F1 (k x1.3) | folds=[np.float64(0.5527), np.float64(0.4536), np.float64(0.5186), np.float64(0.4773)]"
exp6_blend_plus_lambdarank,GBDT+NN1+LambdaRank z-blend,-,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.5017,0.037,0.457,5,"METRIC=candidate F1; +0.001 only, not worth 15 min -> rejected | folds=[np.float64(0.5526), np.float64(0.457), np.float64(0.5193), np.float64(0.4779)]"
exp7_nn2,"Set-attention NN, 12 ep, dropout .25, wd 1e-3, 3 seeds",keyz,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.4923,0.0346,0.462,2600,"METRIC=candidate F1; beats GBDT alone | folds=[np.float64(0.5478), np.float64(0.4643), np.float64(0.4952), np.float64(0.462)]"
exp7_blend_gbdt_nn2,0.4 GBDT + 0.6 NN2 logit blend,-,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.504,0.0346,0.4685,5,"METRIC=candidate F1 (k x1.2) | folds=[np.float64(0.556), np.float64(0.4685), np.float64(0.5143), np.float64(0.4774)]"
exp8_heads_v3,Heads GBDT lr.03 31 leaves + minute-minus-token-ins feature,base+priors+ins hist,"4-fold GroupKFold by day_group (sorted tokens, i%4)",11.9075,0.5634,11.03,1000,"METRIC=instruction MAE minutes (lower better; v2: 11.04/12.25/12.13/12.72) | folds=[np.float64(11.03), np.float64(11.96), np.float64(12.04), np.float64(12.6)]"
exp8_full_blend_nn1_h3,"0.7GBDT+0.3NN1, heads v3, interval coverage, snap delta=1",-,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.3796,,0.347,0,FULL local main; only mean and worst fold were recorded for this configuration. Constraint t0>=ins neutral; snap +0.0012; h3 > h2 by +0.0011
exp9_full_blend_nn2_h3,"0.4GBDT+0.6NN2, heads v3, interval coverage, snap 1.0, k x1.2",-,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.3829,0.0293,0.356,0,"FULL local main. rec_cov .418 lenient .407 strict .360 loose .391 | folds=[np.float64(0.4277), np.float64(0.3575), np.float64(0.3904), np.float64(0.356)]"
exp10_nn5seeds,NN2 + 2 extra seeds (5 total) blended 0.4/0.6,keyz,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.5044,,0.4696,1800,METRIC=candidate F1; +0.0004 vs 3 seeds -> kept 3 seeds
exp11_multitask_nn_heads,multi-task set NN heads blended with GBDT heads,keyz,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.3835,,0.357,2450,FULL local main; +0.0006 vs GBDT heads only -> rejected
FINAL_solution_py_cv,"solution.py --cv: LightGBM + 3-seed SetNet blend, LightGBM heads, interval coverage, anchor snap",full,"4-fold GroupKFold by day_group (sorted tokens, i%4)",0.3818,0.0306,0.3514,3918,"FULL local main, exact final code | folds=[0.4271, 0.356, 0.3926, 0.3514] | lenient .406 rec_cov .417 strict .359 | F1 .503"
