task_id,title,section,question,table
f_4d222017a1024919d99d,List of mayors of Plymouth,Mayors of Plymouth,When was John Rogers the Mayor of Plymouth?,"[[""Year"", ""Name"", ""Notes""], [""1528–29"", ""James Horsewell"", ""MP for Plymouth, 1539""], [""1532–33"", ""William Hawkins"", ""MP for Plymouth, 1539, 1547""], [""1535–36"", ""James Horsewell"", ""MP for Plymouth, 1539""], [""1538–39"", ""William Hawkins"", ""MP for Plymouth, 1539, 1547""], [""1542–43"", ""James Horsewell"", ""MP for Plymouth, 1539""], [""1548–49"", ""Richard Hooper"", ""MP for Plymouth, 1554""], [""1564–65"", ""Nicholas Slanning"", ""MP for Plymouth, 1558""], [""1581–82"", ""Sir Francis Drake"", ""Sea captain. MP for Bossiney and Plymouth""], [""1595–96"", ""James Bagg"", ""MP for Plymouth, 1601""], [""1601"", ""William Parker"", ""Privateer""], [""1603–04"", ""Sir Richard Hawkins"", ""Sea captain. MP for Plymouth, 1604""], [""1608–09"", ""Thomas Sherwill"", ""MP for Plymouth, 1614–1628""], [""1617–18"", ""Thomas Sherwill"", ""MP for Plymouth, 1614–1628""], [""1619"", ""Thomas Fones (d.1638)"", ""Merchant""], [""1626–27"", ""Thomas Sherwill"", ""MP for Plymouth, 1614–1628""], [""1631–32"", ""John Waddon Jnr"", ""MP for Plymouth, 1640""], [""1633–34"", ""Robert Trelawney Jnr"", ""Colonist. MP for Plymouth, 1640""], [""1662–63"", ""William Jennens"", ""MP for Saltash, 1679 Removed for non-conformity""], [""1686–87"", ""John Trelawny"", ""MP for Plymouth, 1690""], [""1694–95"", ""James Yonge"", ""Surgeon""], [""1722–23"", ""Sir John Rogers, 2nd Baronet"", ""Lawyer, MP for Plymouth, 1713""], [""1728-29"", ""John Rogers"", ""MP for Plymouth, 1739""], [""1741–42 (part)"", ""Sir John Rogers, 2nd Baronet"", ""Lawyer, MP for Plymouth, 1713""], [""1743-44"", ""John Rogers"", ""MP for Plymouth, 1739""], [""1773-74"", ""Sir F L Rogers"", ""MP for Plymouth, 1780""], [""1800–01"", ""Philip Langmead"", ""MP for Plymouth, 1802""], [""1829–30"", ""William F Wise, Capt R N"", ""Retired Naval Officer.""], [""1887–90"", ""Henry John Waring"", ""knighted in 1891""], [""1901–02"", ""Joseph Arthur Bellamy"", ""knighted""], [""1913–16"", ""Thomas Baker"", ""awarded KBE, 1920, for war work""], [""1917-19"", ""Joseph Pearce Brown"", ""-""], [""1926–27"", ""James John Hamlyn Moses"", ""MP for Plymouth, 1929""]]"
f_3e8ad57bfcf6db5ce19f,List of awards and nominations received by Pearl Jam,Grammy Awards,"What two awards was Jeremy nominated for, and what year was the song nominated?","[[""Year"", ""Nominee / work"", ""Award"", ""Result""], [""1993"", ""\""Jeremy\"""", ""Best Rock Song"", ""Nominated""], [""1993"", ""\""Jeremy\"""", ""Best Hard Rock Performance"", ""Nominated""], [""1995"", ""\""Daughter\"""", ""Best Rock Performance by a Duo or Group with Vocal"", ""Nominated""], [""1995"", ""\""Go\"""", ""Best Hard Rock Performance"", ""Nominated""], [""1995"", ""Vs."", ""Best Rock Album"", ""Nominated""], [""1996"", ""\""Spin the Black Circle\"""", ""Best Hard Rock Performance"", ""Won""], [""1996"", ""Vitalogy"", ""Album of the Year"", ""Nominated""], [""1996"", ""Vitalogy"", ""Best Rock Album"", ""Nominated""], [""1999"", ""\""Do the Evolution\"""", ""Best Hard Rock Performance"", ""Nominated""], [""1999"", ""\""Do the Evolution\"""", ""Best Music Video, Short Form"", ""Nominated""], [""1999"", ""Yield"", ""Best Recording Package"", ""Nominated""], [""2001"", ""\""Grievance\"""", ""Best Hard Rock Performance"", ""Nominated""], [""2010"", ""\""The Fixer\"""", ""Best Rock Song"", ""Nominated""], [""2011"", ""Backspacer"", ""Best Rock album"", ""Nominated""], [""2015"", ""Lightning Bolt"", ""Best Recording Package"", ""Won""]]"
f_127cd42fb21ea24c5f14,List of flag bearers for Tanzania at the Olympics,(untitled),Who was Tanzania's flag bearer at the 1972 Summer Olympics?,"[[""#"", ""Event year"", ""Season"", ""Flag bearer"", ""Sport""], [""8"", ""2016"", ""Summer"", ""Moshi, MagdalenaMagdalena Moshi"", ""Swimming""], [""7"", ""2012"", ""Summer"", ""Ramadhani, SamsonSamson Ramadhani"", ""-""], [""6"", ""2008"", ""Summer"", ""Mwera, SamwelSamwel Mwera"", ""-""], [""5"", ""2004"", ""Summer"", ""Bayo, ZebedayoZebedayo Bayo"", ""-""], [""4"", ""2000"", ""Summer"", ""Bayo, ZebedayoZebedayo Bayo"", ""-""], [""3"", ""1996"", ""Summer"", ""Salum, IkajiIkaji Salum"", ""-""], [""2"", ""1984"", ""Summer"", ""Shahanga, GidamisGidamis Shahanga"", ""-""], [""1"", ""1972"", ""Summer"", ""Kamanya, ClaverClaver Kamanya"", ""-""]]"
f_8dd89345a8559e502169,List of cities and towns in Greenland,"Towns with a population of more than 1,000",What are the 3 largest cities and towns in Greenland?,"[[""Rank"", ""Population"", ""Name"", ""Former Name"", ""Municipality""], [""1"", ""17,796"", ""Nuuk"", ""Godthåb Godthaab Neu-Herrnhut"", ""Sermersooq""], [""2"", ""5,491"", ""Sisimiut"", ""Holsteinsborg"", ""Qeqqata""], [""3"", ""4,563"", ""Ilulissat"", ""Jakobshavn"", ""Avannaata""], [""4"", ""3,120"", ""Aasiaat"", ""Egedesminde"", ""Qeqertalik""], [""5"", ""3,093"", ""Qaqortoq"", ""Julianehåb Julianehaab"", ""Kujalleq""], [""6"", ""2,534"", ""Maniitsoq"", ""Nye-Sukkertoppen Sukkertoppen"", ""Qeqqata""], [""7"", ""2,006"", ""Tasiilaq"", ""Ammassalik Angmagssalik"", ""Sermersooq""], [""8"", ""1,365"", ""Narsaq"", ""Nordprøven"", ""Kujalleq""], [""9"", ""1,359"", ""Uummannaq"", ""Omenak"", ""Avannaata""], [""10"", ""1,355"", ""Paamiut"", ""Frederikshåb Frederikshaab"", ""Sermersooq""], [""11"", ""1,236"", ""Nanortalik"", ""Nennortalik"", ""Kujalleq""], [""12"", ""1,105"", ""Qasigiannguit"", ""Christianshåb Christianshaab"", ""Qeqertalik""], [""13"", ""1,067"", ""Upernavik"", ""—"", ""Avannaata""]]"
f_3d4999678920aec4b794,Weightlifting at the 1896 Summer Olympics – Men's two hand lift,Results,How did Viggo Jensen and Launceston Elliot compare in the Wei?ghtlifting at the 1896 Summer Olympics – Men's two hand lift,"[[""Place"", ""Lifter"", ""Weight""], [""1"", ""Viggo Jensen (DEN)"", ""111.5 kg""], [""2"", ""Launceston Elliot (GBR)"", ""111.5 kg""], [""3"", ""Sotirios Versis (GRE)"", ""90.0 kg""], [""4"", ""Georgios Papasideris (GRE)"", ""90.0 kg""], [""4"", ""Carl Schuhmann (GER)"", ""90.0 kg""], [""6"", ""Momcsilló Tapavicza (HUN)"", ""80.0 kg""]]"
f_ccf498be9026bcdd22f5,Thobias Nilsson Montler,International competitions,When and in which cities did Thobias Nilsson Montler earn his top two personal bests in the long jump?,"[[""Year"", ""Competition"", ""Venue"", ""Position"", ""Event"", ""Notes""], [""Representing Sweden"", ""Representing Sweden"", ""Representing Sweden"", ""Representing Sweden"", ""Representing Sweden"", ""Representing Sweden""], [""2013"", ""World Youth Championships"", ""Donetsk, Ukraine"", ""8th"", ""Long jump"", ""7.32 m""], [""2014"", ""World Junior Championships"", ""Eugene, United States"", ""8th"", ""Long jump"", ""7.65 m (w)""], [""2015"", ""European Indoor Championships"", ""Prague, Czech Republic"", ""21st (q)"", ""Long jump"", ""7.38 m""], [""2015"", ""European Junior Championships"", ""Eskilstuna, Sweden"", ""1st"", ""4 × 100 m relay"", ""39.73 s""], [""2015"", ""European Junior Championships"", ""Eskilstuna, Sweden"", ""4th"", ""Triple jump"", ""7.68 m""], [""2017"", ""European U23 Championships"", ""Bydgoszcz, Poland"", ""3rd"", ""Long jump"", ""7.96 m""], [""2018"", ""European Championships"", ""Berlin, Germany"", ""4th"", ""Long jump"", ""8.10 m""], [""2019"", ""European Indoor Championships"", ""Glasgow, United Kingdom"", ""2nd"", ""Long jump"", ""8.17 m""]]"
f_608f91e051479f752e0e,Swimming at the 2008 Summer Olympics – Women's 50 metre freestyle,Final,What competitors finished fifth and sixth in the Women's 50 metre freestyle at the 2008 Summer Olympics?,"[[""Rank"", ""Lane"", ""Name"", ""Nationality"", ""Time"", ""Notes""], [""-"", ""3"", ""Britta Steffen"", ""Germany"", ""24.06"", ""OR""], [""-"", ""4"", ""Dara Torres"", ""United States"", ""24.07"", ""AM""], [""-"", ""5"", ""Cate Campbell"", ""Australia"", ""24.17"", ""-""], [""4"", ""2"", ""Lisbeth Trickett"", ""Australia"", ""24.25"", ""-""], [""5"", ""6"", ""Marleen Veldhuis"", ""Netherlands"", ""24.26"", ""-""], [""6"", ""1"", ""Kara Lynn Joyce"", ""United States"", ""24.63"", ""-""], [""7"", ""7"", ""Hinkelien Schreuder"", ""Netherlands"", ""24.65"", ""-""], [""8"", ""8"", ""Aliaksandra Herasimenia"", ""Belarus"", ""24.77"", ""-""]]"
f_1b01550fb387c34a9d37,Fionn O'Shea,Film,In which 2016 film did Fionn O'Shea play the character Ned Roche?,"[[""Year"", ""Title"", ""Role"", ""Notes""], [""2007"", ""New Boy"", ""Seth Quinn"", ""Short film""], [""2008"", ""Hoor"", ""-"", ""Short film""], [""2009"", ""The Mill"", ""Conor"", ""Short film""], [""2009"", ""A Shine of Rainbows"", ""Orphan Boy #1"", ""-""], [""2009"", ""Free Chips Forever!"", ""Tom"", ""Short film""], [""2016"", ""The Siege of Jadotville"", ""William Reidy"", ""-""], [""2016"", ""Handsome Devil"", ""Ned Roche"", ""-""], [""2018"", ""Earthy Encounters"", ""Kyle"", ""Short film""], [""2019"", ""The Aftermath"", ""Barker"", ""-""]]"
f_7bf45f94360aa426af5b,Planets beyond Neptune,Pluto loses Planet X title,What were the earliest measurements of the mass of Neptune?,"[[""Year"", ""Mass"", ""Notes""], [""1931"", ""1 Earth"", ""Nicholson & Mayall""], [""1942"", ""0.91 Earth"", ""Wylie""], [""1948"", ""0.1 (1/10 Earth)"", ""Kuiper""], [""1973"", ""0.025 (1/40 Earth)"", ""Rawlins""], [""1976"", ""0.01 (1/100 Earth)"", ""Cruikshank, Pilcher, & Morrison""], [""1978"", ""0.002 (1/500 Earth)"", ""Christy & Harrington""], [""2006"", ""0.00218 (1/459 Earth)"", ""Buie et al.""]]"
f_4f4d0898c2d426edcd60,Kathy Read,International competitions,"What year did Kathy Read win a bronze medal at the European Championships, and which event did she win it in?","[[""Year"", ""Competition"", ""Venue"", ""Position"", ""Event"", ""Notes""], [""1984"", ""Olympic Games"", ""Los Angeles, United States"", ""11th"", ""200 m backstroke"", ""2:18.33""], [""1986"", ""Commonwealth Games"", ""Edinburgh, Scotland"", ""5th"", ""100 m backstroke"", ""1:04.88""], [""1986"", ""Commonwealth Games"", ""Edinburgh, Scotland"", ""2nd"", ""200 m backstroke"", ""2:16.92""], [""1986"", ""Commonwealth Games"", ""Edinburgh, Scotland"", ""8th"", ""400 m Ind. medley"", ""4:58.91""], [""1986"", ""World Championships"", ""Madrid, Spain"", ""13th"", ""100 m backstroke"", ""1:04.52""], [""1986"", ""World Championships"", ""Madrid, Spain"", ""13th"", ""200 m backstroke"", ""2:18.13""], [""1986"", ""World Championships"", ""Madrid, Spain"", ""10th"", ""4 × 100 m medley"", ""4:19.37""], [""1987"", ""European Championships"", ""Strasbourg, France"", ""8th"", ""200 m backstroke"", ""2:16.46""], [""1988"", ""Olympic Games"", ""Seoul, South Korea"", ""16th"", ""100 m backstroke"", ""1:04.27""], [""1988"", ""Olympic Games"", ""Seoul, South Korea"", ""12th"", ""200 m backstroke"", ""2:18.20""], [""1988"", ""Olympic Games"", ""Seoul, South Korea"", ""9th"", ""4 × 100 m medley"", ""4:16.18""], [""1989"", ""European Championships"", ""Bonn, Germany"", ""7th"", ""100 m backstroke"", ""1:04.60""], [""1989"", ""European Championships"", ""Bonn, Germany"", ""7th"", ""200 m backstroke"", ""2:16.85""], [""1989"", ""European Championships"", ""Bonn, Germany"", ""5th"", ""4 × 100 m medley"", ""4:13.89""], [""1990"", ""Commonwealth Games"", ""Auckland, New Zealand"", ""6th"", ""100 m backstroke"", ""1:04.59""], [""1990"", ""Commonwealth Games"", ""Auckland, New Zealand"", ""5th"", ""200 m backstroke"", ""2:15.75""], [""1991"", ""European Championships"", ""Athens, Greece"", ""6th"", ""200 m backstroke"", ""2:15.15""], [""1992"", ""Olympic Games"", ""Barcelona, Spain"", ""24th"", ""100 m backstroke"", ""1:04.97""], [""1992"", ""Olympic Games"", ""Barcelona, Spain"", ""21st"", ""200 m backstroke"", ""2:17.15""], [""1993"", ""European Championships"", ""Sheffield, England"", ""6th"", ""100 m backstroke"", ""1:03.54""], [""1993"", ""European Championships"", ""Sheffield, England"", ""6th"", ""200 m backstroke"", ""2:14.55""], [""1993"", ""European Championships"", ""Sheffield, England"", ""3rd"", ""4 × 100 m medley"", ""4:12.18""], [""1994"", ""Commonwealth Games"", ""Victoria, Canada"", ""3rd"", ""100 m backstroke"", ""1:03.27""], [""1994"", ""Commonwealth Games"", ""Victoria, Canada"", ""6th"", ""200 m backstroke"", ""2:16.25""], [""1994"", ""Commonwealth Games"", ""Victoria, Canada"", ""2nd"", ""4 × 100 m medley"", ""4:12.83""]]"
f_cacb5de1d0414b2c95ca,The Holographic Principle World Tour,The Nordic Principle Tour,When did the Nordic Principle Tour begin and end?,"[[""Date"", ""City"", ""Country"", ""Venue"", ""Opening act""], [""28 February 2017"", ""Helsinki"", ""Finland"", ""Tavastia Club"", ""Crimson Sun""], [""1 March 2017"", ""Stockholm"", ""Sweden"", ""Debaser Strand"", ""Skálmöld""], [""3 March 2017"", ""Copenhagen"", ""Denmark"", ""Amager Bio"", ""Skálmöld""], [""4 March 2017"", ""Oslo"", ""Norway"", ""Vulkan Arena"", ""Skálmöld""], [""5 March 2017"", ""Malmö"", ""Sweden"", ""KB"", ""Skálmöld""]]"
f_b028c49449cbf4c234c8,Tanzania at the 2016 Summer Olympics,Athletics (track and field),"Where did Fabiano Joseph Naasi finish in the Men's marathon, and what time did he finish with?","[[""Athlete"", ""Event"", ""Final"", ""Final""], [""Athlete"", ""Event"", ""Result"", ""Rank""], [""Saidi Makula"", ""Men's marathon"", ""2:17:49"", ""43""], [""Fabiano Joseph Naasi"", ""Men's marathon"", ""2:28:31"", ""112""], [""Alphonce Felix Simbu"", ""Men's marathon"", ""2:11:15"", ""5""], [""Sara Ramadhani"", ""Women's marathon"", ""3:00:03"", ""121""]]"
f_d23fa01a639ba4f1297a,List of ambassadors of Pakistan to the United States,List of Pakistani Ambassadors to the United States,When was Sahabzada Yaqub Khan the Pakistani Ambassador to the United States?,"[[""Name and Title"", ""Image"", ""Entered Office"", ""Left Office""], [""Abul Hassan Isphani"", ""-"", ""8 October 1948"", ""8 February 1952""], [""Muhammad Ali Bogra"", ""-"", ""27 February 1952"", ""16 April 1953""], [""Syed Amjad Ali"", ""-"", ""26 September 1953"", ""17 September 1955""], [""Muhammad Ali Bogra"", ""-"", ""November 1955"", ""March 1959""], [""Aziz Ahmed"", ""-"", ""23 March 1959"", ""July 1963""], [""Ghulam Ahmed"", ""-"", ""19 July 1963"", ""15 September 1966""], [""Agha Hilaly"", ""-"", ""21 October 1966"", ""20 October 1971""], [""Maj Gen (R) N.A.M. Raza"", ""-"", ""22 October 1971"", ""22 April 1972""], [""Sultan Muhammad Khan"", ""-"", ""15 May 1972"", ""8 December 1973""], [""Lt Gen (R) Sahabzada Yaqub Khan"", ""-"", ""19 December 1973"", ""3 January 1979""], [""Sultan Muhammad Khan"", ""-"", ""13 January 1979"", ""31 December 1980""], [""Lt Gen Ejaz Azim"", ""-"", ""7 July 1981"", ""15 September 1986""], [""Jamsheed Marker"", ""-"", ""17 September 1986"", ""30 June 1989""], [""Air Chief Marshal (R) Zulfiqar Ali Khan"", ""-"", ""12 July 1989"", ""15 September 1990""], [""Najmuddin Shaikh"", ""-"", ""14 October 1990"", ""22 November 1991""], [""Abida Hussain"", ""-"", ""26 November 1991"", ""24 April 1993""], [""Maliha Lodhi"", ""-"", ""21 January 1994"", ""30 January 1997""], [""Riaz Khokhar"", ""-"", ""12 March 1997"", ""7 September 1999""], [""Tariq Fatemi"", ""-"", ""8 September 1999"", ""16 December 1999""], [""Maliha Lodhi"", ""-"", ""17 December 1999"", ""4 August 2002""], [""Ashraf Qazi"", ""-"", ""19 August 2002"", ""6 August 2004""], [""General (R) Jehangir Karamat"", ""-"", ""17 November 2004"", ""3 June 2006""], [""Maj Gen (R) Mahmud Ali Durrani"", ""-"", ""5 June 2006"", ""9 May 2008""], [""Husain Haqqani"", ""-"", ""26 May 2008"", ""22 November 2011""], [""Sherry Rehman"", ""-"", ""23 November 2011"", ""14 May 2013""], [""Jalil Abbas Jilani"", ""-"", ""December 2013"", ""February 2017""], [""Aizaz Ahmad Chaudhry"", ""-"", ""March 2017"", ""May 2018""], [""Ali Jehangir Siddiqui"", ""-"", ""29 May 2018"", ""25 December 2018""], [""Asad Majeed Khan [ja]"", ""-"", ""11 January 2019"", ""Incumbent""]]"
f_e6ccba784653f3e19462,1844 New Jersey gubernatorial election,Results,"Who were the candidates for governor of New Jersey in 1844, and what percentage of the vote did the winner receive?","[[""Party"", ""Party"", ""Candidate"", ""Votes"", ""%"", ""±""], [""-"", ""Whig"", ""Charles C. Stratton"", ""37,985"", ""50.94%"", ""-""], [""-"", ""Democratic"", ""John Renshaw Thomson"", ""36,581"", ""49.06%"", ""-""], [""Majority"", ""Majority"", ""Majority"", ""-"", ""-"", ""-""], [""Turnout"", ""Turnout"", ""Turnout"", ""-"", ""-"", ""-""], [""-"", ""Whig hold"", ""Whig hold"", ""Swing"", ""-"", ""-""]]"
f_f72331712e5f36475fb0,Zhengzhou Open,Singles,What year did the Zhengzhou Open was first held as an ITF tournamenrvand when did it transition to a WTA type tournament?,"[[""Year"", ""Champion"", ""Runner-up"", ""Score""], [""↑ WTA Premier event ↑"", ""↑ WTA Premier event ↑"", ""↑ WTA Premier event ↑"", ""↑ WTA Premier event ↑""], [""2018"", ""China Zheng Saisai"", ""China Wang Yafan"", ""5–7, 6–2, 6–1""], [""2017"", ""China Wang Qiang"", ""China Peng Shuai"", ""3–6, 7–6(7–3), 1–1 ret.""], [""↑ WTA 125K event ↑"", ""↑ WTA 125K event ↑"", ""↑ WTA 125K event ↑"", ""↑ WTA 125K event ↑""], [""2016"", ""Russia Anastasia Pivovarova"", ""China Lu Jingjing"", ""6–4, 6–4""], [""2015"", ""China Wang Yafan"", ""China Duan Yingying"", ""6–4, 6–4""], [""2014"", ""China Zhang Kailin"", ""China Xu Yifan"", ""7–5, 6–4""], [""↑ ITF event ↑"", ""↑ ITF event ↑"", ""↑ ITF event ↑"", ""↑ ITF event ↑""]]"
f_b5a261b5ddefa2519544,Ashu Kasim,Marathons,Which competitions did Ashu Kasim win in 2010 and 2012?,"[[""Year"", ""Competition"", ""Venue"", ""Position"", ""Notes""], [""2009"", ""Istanbul Marathon"", ""Istanbul, Turkey"", ""2nd"", ""Marathon""], [""2010"", ""Istanbul Marathon"", ""Istanbul, Turkey"", ""1st"", ""Marathon""], [""2011"", ""Istanbul Marathon"", ""Istanbul, Turkey"", ""4th"", ""Marathon""], [""2012"", ""Xiamen International Marathon"", ""Xiamen, China"", ""1st"", ""Marathon""]]"
f_0a46f6ae21b1789ccc40,John Kelai,Achievements,What did John Kelai achieve in 2009?,"[[""Year"", ""Competition"", ""Venue"", ""Position"", ""Event"", ""Notes""], [""Representing Kenya"", ""Representing Kenya"", ""Representing Kenya"", ""Representing Kenya"", ""Representing Kenya"", ""Representing Kenya""], [""2003"", ""Singapore Marathon"", ""Singapore"", ""1st"", ""Marathon"", ""2:19:02""], [""2004"", ""Brussels Marathon"", ""Brussels, Belgium"", ""1st"", ""Marathon"", ""2:10:59""], [""2004"", ""Singapore Marathon"", ""Singapore"", ""4th"", ""Marathon"", ""2:17:49""], [""2005"", ""Enschede Marathon"", ""Enschede, Netherlands"", ""1st"", ""Marathon"", ""2:11:44""], [""2005"", ""Eindhoven Marathon"", ""Eindhoven, Netherlands"", ""4th"", ""Marathon"", ""2:09:09""], [""2005"", ""Singapore Marathon"", ""Singapore"", ""5th"", ""Marathon"", ""2:16:58""], [""2006"", ""Enschede Marathon"", ""Enschede, Netherlands"", ""2nd"", ""Marathon"", ""2:12:05""], [""2006"", ""Eindhoven Marathon"", ""Eindhoven, Netherlands"", ""14th"", ""Marathon"", ""2:18:37""], [""2007"", ""Mumbai Marathon"", ""Mumbai, India"", ""1st"", ""Marathon"", ""2:12:30""], [""2007"", ""National Capital Marathon"", ""Ottawa, Canada"", ""4th"", ""Marathon"", ""2:11:10""], [""2007"", ""Toronto Waterfront Marathon"", ""Toronto, Canada"", ""1st"", ""Marathon"", ""2:09:30""], [""2008"", ""Mumbai Marathon"", ""Mumbai, India"", ""1st"", ""Marathon"", ""2:12:22""], [""2008"", ""Toronto Waterfront Marathon"", ""Toronto, Canada"", ""5th"", ""Marathon"", ""2:12:43""], [""2009"", ""Mumbai Marathon"", ""Mumbai, India"", ""3rd"", ""Marathon"", ""2:12:13""], [""2009"", ""Ruhr Marathon"", ""Essen, Germany"", ""4th"", ""Marathon"", ""2:11:15""], [""2009"", ""Singapore Marathon"", ""Singapore"", ""4th"", ""Marathon"", ""2:13:14""], [""2010"", ""Enschede Marathon"", ""Enschede, Netherlands"", ""1st"", ""Marathon"", ""2:12:17""], [""2010"", ""Commonwealth Games"", ""Delhi, India"", ""1st"", ""Marathon"", ""2:14:35""]]"
f_c819d478fa156c6c9cdd,Marcia Lucas,Filmography,"What year did Marcia Lucas edit Star Wars, and who directed the film?","[[""Year"", ""Film"", ""Role"", ""Director"", ""Notes""], [""1968"", ""Filmmaker"", ""Editor (uncredited)"", ""George Lucas"", ""Documentary short""], [""1968"", ""The New Cinema"", ""Assistant editor"", ""Gary Young"", ""TV Movie documentary""], [""1969"", ""The Rain People"", ""Assistant editor"", ""Francis Ford Coppola"", ""Theatrical films""], [""1969"", ""Medium Cool"", ""Assistant editor"", ""Haskell Wexler"", ""Theatrical films""], [""1971"", ""THX 1138"", ""Assistant editor"", ""George Lucas"", ""Theatrical films""], [""1972"", ""The Candidate"", ""Assistant editor"", ""Michael Ritchie"", ""Theatrical films""], [""1973"", ""American Graffiti"", ""Editor"", ""George Lucas"", ""Theatrical films""], [""1974"", ""Alice Doesn't Live Here Anymore"", ""Editor"", ""Martin Scorsese"", ""Theatrical films""], [""1976"", ""Taxi Driver"", ""Supervising film editor"", ""Martin Scorsese"", ""Theatrical films""], [""1977"", ""New York, New York"", ""Supervising film editor"", ""Martin Scorsese"", ""Theatrical films""], [""1977"", ""Star Wars"", ""Editor"", ""George Lucas"", ""Theatrical films""], [""1979"", ""More American Graffiti"", ""Editor (uncredited)"", ""Bill L. Norton"", ""Theatrical films""], [""1980"", ""The Empire Strikes Back"", ""Editor (uncredited)"", ""Irvin Kersher"", ""Theatrical films""], [""1983"", ""Return of the Jedi"", ""Editor"", ""Richard Marquand"", ""Theatrical films""], [""1996"", ""No Easy Way"", ""Executive Producer"", ""Jeffrey Fine"", ""Theatrical films""], [""1998"", ""A Good Son"", ""Producer"", ""Robert Little"", ""Short""]]"
f_4be0415735b91c293b27,Renée Elise Goldsberry,Stage,What roles has Renee Elise Goldsberry played on Broadway?,"[[""Year"", ""Title"", ""Role"", ""Location"", ""Category""], [""1997"", ""Dreamgirls"", ""Michelle Morris"", ""N/A"", ""National Tour""], [""2002"", ""The Lion King"", ""Nala"", ""New Amsterdam Theatre"", ""Broadway""], [""2005"", ""Two Gentlemen of Verona"", ""Silvia"", ""Delacorte Theater"", ""Off-Broadway""], [""2005–06"", ""The Color Purple"", ""Nettie Harris"", ""Broadway Theatre"", ""Broadway""], [""2007"", ""The Baker's Wife"", ""Genevieve Castagnet"", ""York Theatre"", ""Off-Broadway""], [""2008"", ""Rent"", ""Mimi Márquez"", ""Nederlander Theatre"", ""Broadway""], [""2011"", ""Good People"", ""Kate Dillon"", ""Samuel J. Friedman Theatre"", ""Broadway""], [""2011"", ""Love's Labour's Lost"", ""Princess of France"", ""The Public Theater"", ""Off-Broadway""], [""2012"", ""As You Like It"", ""Celia"", ""Delacorte Theater"", ""Off-Broadway""], [""2013"", ""I'm Getting My Act Together and Taking It on the Road"", ""Heather Jones"", ""New York City Center"", ""Encores!""], [""2015"", ""Hamilton"", ""Angelica Schuyler"", ""The Public Theater"", ""Off-Broadway""], [""2015–16"", ""Hamilton"", ""Angelica Schuyler"", ""Richard Rodgers Theatre"", ""Broadway""]]"
f_5358626629ce41e58e2e,Swimming at the 2016 Summer Olympics – Women's 800 metre freestyle,Final,How did the last two finishers perform in the Women's 800 metre freestyle?,"[[""Rank"", ""Lane"", ""Name"", ""Nationality"", ""Time"", ""Notes""], [""-"", ""4"", ""Katie Ledecky"", ""United States"", ""8:04.79"", ""WR""], [""-"", ""3"", ""Jazmin Carlin"", ""Great Britain"", ""8:16.17"", ""-""], [""-"", ""5"", ""Boglárka Kapás"", ""Hungary"", ""8:16.37"", ""NR""], [""4"", ""8"", ""Mireia Belmonte"", ""Spain"", ""8:18.55"", ""NR""], [""5"", ""7"", ""Jessica Ashwood"", ""Australia"", ""8:20.32"", ""-""], [""6"", ""6"", ""Leah Smith"", ""United States"", ""8:20.95"", ""-""], [""7"", ""2"", ""Lotte Friis"", ""Denmark"", ""8:24.50"", ""-""], [""8"", ""1"", ""Sarah Köhler"", ""Germany"", ""8:27.75"", ""-""]]"
f_022223e066fc6f611c0c,2005 Pengkalan Pasir by-election,Election results,"In the 2005 Pengkalan Pasir by-election, who were the top two candidates and how many votes did each candidate receive?","[[""Party"", ""Party"", ""Candidate"", ""Votes"", ""%"", ""∆%""], [""-"", ""BN"", ""Hanafi Mamat"", ""7,422"", ""49.07"", ""0.73""], [""-"", ""PAS"", ""Hanifa Ahmad"", ""7,288"", ""48.19"", ""2.01""], [""-"", ""Independent"", ""Ibrahim Ali"", ""415"", ""2.74"", ""N/A""], [""Total valid votes"", ""Total valid votes"", ""Total valid votes"", ""15,125"", ""100.00"", ""-""], [""Total rejected ballots"", ""Total rejected ballots"", ""Total rejected ballots"", ""325"", ""-"", ""-""], [""Unreturned ballots"", ""Unreturned ballots"", ""Unreturned ballots"", ""0"", ""-"", ""-""], [""Turnout"", ""Turnout"", ""Turnout"", ""15,450"", ""73.00"", ""-""], [""Registered electors"", ""Registered electors"", ""Registered electors"", ""18,411"", ""-"", ""-""], [""Majority"", ""Majority"", ""Majority"", ""134"", ""0.88"", ""-""], [""-"", ""BN gain from PAS"", ""BN gain from PAS"", ""Swing"", ""Swing"", ""?""]]"
f_ebba48095a1b25073c63,1850 New Jersey gubernatorial election,Results,What were the parties/candidates and winning vote percentage for the 1850 NJ gubernatorial election?,"[[""Party"", ""Party"", ""Candidate"", ""Votes"", ""%"", ""±""], [""-"", ""Democratic"", ""George Franklin Fort"", ""39,726"", ""53.84%"", ""-""], [""-"", ""Whig"", ""John Runk"", ""34,054"", ""46.16%"", ""-""], [""Majority"", ""Majority"", ""Majority"", ""-"", ""-"", ""-""], [""Turnout"", ""Turnout"", ""Turnout"", ""-"", ""-"", ""-""], [""-"", ""Democratic hold"", ""Democratic hold"", ""Swing"", ""-"", ""-""]]"
